Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
98,26,5,101,3,Some Random Commen with Id 98
99,26,5,53,5,Some Random Commen with Id 99
100,26,5,80,6,Some Random Commen with Id 100
101,26,5,172,7,Some Random Commen with Id 101
102,27,8,152,7,Some Random Commen with Id 102
103,27,8,166,8,Some Random Commen with Id 103
104,27,8,67,0,Some Random Commen with Id 104
105,27,8,86,4,Some Random Commen with Id 105
106,28,8,34,2,Some Random Commen with Id 106
107,28,8,60,2,Some Random Commen with Id 107
108,29,6,1,4,Some Random Commen with Id 108
109,29,6,69,2,Some Random Commen with Id 109
110,29,6,72,7,Some Random Commen with Id 110
111,29,6,66,8,Some Random Commen with Id 111
112,29,6,96,4,Some Random Commen with Id 112
113,29,6,35,2,Some Random Commen with Id 113
114,29,6,120,2,Some Random Commen with Id 114
115,29,6,82,2,Some Random Commen with Id 115
116,29,6,66,9,Some Random Commen with Id 116
117,30,8,42,2,Some Random Commen with Id 117
118,30,8,170,8,Some Random Commen with Id 118
119,30,8,84,8,Some Random Commen with Id 119
120,30,8,70,5,Some Random Commen with Id 120
121,30,8,51,9,Some Random Commen with Id 121
122,30,8,34,6,Some Random Commen with Id 122
123,30,8,38,0,Some Random Commen with Id 123
124,31,6,166,5,Some Random Commen with Id 124
125,32,7,58,7,Some Random Commen with Id 125
126,32,7,1,8,Some Random Commen with Id 126
127,32,7,147,1,Some Random Commen with Id 127
128,33,2,67,2,Some Random Commen with Id 128
129,33,2,61,0,Some Random Commen with Id 129
130,33,2,80,0,Some Random Commen with Id 130
131,34,6,95,9,Some Random Commen with Id 131
132,34,6,22,3,Some Random Commen with Id 132
133,34,6,84,2,Some Random Commen with Id 133
134,35,2,149,9,Some Random Commen with Id 134
135,35,2,56,8,Some Random Commen with Id 135
136,35,2,30,4,Some Random Commen with Id 136
137,35,2,107,9,Some Random Commen with Id 137
138,35,2,160,9,Some Random Commen with Id 138
139,35,2,197,9,Some Random Commen with Id 139
140,37,6,97,2,Some Random Commen with Id 140
141,37,6,37,6,Some Random Commen with Id 141
142,37,6,27,9,Some Random Commen with Id 142
143,37,6,189,9,Some Random Commen with Id 143
144,37,6,80,1,Some Random Commen with Id 144
145,38,1,185,4,Some Random Commen with Id 145
146,38,1,55,7,Some Random Commen with Id 146
147,38,1,147,0,Some Random Commen with Id 147
148,38,1,101,9,Some Random Commen with Id 148
149,38,1,133,6,Some Random Commen with Id 149
150,38,1,62,4,Some Random Commen with Id 150
